text,emotion
i feel her inner muscles clench and hug my cock for more making our intimacy not just fucking but intensely passionate love making,happiness
i am feel like so horny tonight that i can t wait for you cock come here big boy and fill my needs and my fantasies,happiness
Nitty Gritty is a place I only go to when I have a coupon or am near the Kohl Center. I know there burgers come highly rated but honestly they are pretty meh. First floor bar on a quiet night is pretty nice and relaxing. Also was pleasantly impressed with the Italian flatbread melt. I'll probably be back next time I'm near the Kohl Center,neutral
i was really feeling like what i said and my confessions always bring me your lovely kisses and hugs,happiness
i really am on edge at the moment when it comes to my boobs its not a nice feeling being unsure about your body,worry
Mon expΓ©rience se restreint aux plats Γ  emporter! Le service est ultra rapide et les serveurs sont agrΓ©ables! La salle est grande et claire....et offre des vidΓ©os sur grands Γ©crans un peu spΓ©ciales..... Je recommande la Dirty Sanchez qui est dΓ©licieuse!,neutral
i honestly feel really strange and awkward about the whole thing,worry
i learned about taking a dip in the dating pool its that in relationships its always better to feel surprised than disappointed,surprise
i finally towards the later parts in training began to feel at comfort with my handling so i was loving the chance to try out my skills work,happiness
i always feel uncertain even if people keep assuring me already,worry
im feeling kinda homesick,sadness
im feeling cold and next i love the feel of your smooth skin next to mine please take your clothes off,hate
i cant get enough sparkle and others i like the warm cozy feel of more casual decor,fun
i feel im a bit skeptical,worry
"Ok, so I went here with my Mom and a group of people for her birthday.  The drinks were good, I'm under 21 so I had a raspberry iced tea, which was good, and everyone that had wine or beer thought it was a great selection.  For an appetizer I tried the chicken wings, which were huge (bigger than my fist) and very delicious, being only $5 on the happy hour menu, it was a great deal. It came with 3 wings.  For my entree I tried the chile rubbed mejor steak.  It was $20, and the disappointment was bigger than the steak.  The steak was smaller than the chicken wings were, with even less flavor.  I honestly don't even know how they removed as much flavor as they possibly could from their steak.  The size of the steak alone made me want to leave upon looking at it, but the hopes of flavor kept me going, only to end up wanting to cry in the spiciest mashed potatoes I have ever had.    In the end, I wish I had only had more of the chicken wings.  The drinks, wings, and service were the only things that kept me from getting too upset.  At the time.  This happened a few weeks ago and I wasn't going to write a review, but I've had this eating at me and pissing me off at random times.  I WILL NEVER EAT THERE AGAIN.  If you're a steak fan, I wouldn't go here.  The chicken wings were the only things on the menu that looked appetizing to me.",neutral
i dont know what should i say to myself because i feel that i am super realistic,fun
i told dave that i didnt feel very sociable so that he could change his mind about the visiting,fun
i drove back to the beach staring at the thing on the seat beside me feeling very depressed,sadness
i learned over time to ask myself i hope i can spare you the experience of feeling the need to apologize to our beloved plants as i have had and afford you the opportunity to get another layer of medicine from the green world,happiness
i am feeling confused about certain things big things exciting things things that really matter,worry
i feel it is such a lovely sensitive and well thought piece,happiness
i cannot shake the feeling that there is so much more out there and not the kind of frantic doing that i have already mentioned and we are not doing the job,worry
"Is there a secret code for guys to take you on a first date here?? I've been taken here for 3 different first dates- like they'll come pick me up and just go to turtle jack's with no warning. So it's literally deja vu over and over again. Meh, I didn't mind.  Turtle jacks has a dark and muskoka atmosphere; it's a nice, cozy environment and I can definitely see why all the ladies men choose to take their lady friends here. The service at turtle jack's is pretty consistent- never AMAZING but never rude. I remember once my date for the night and I stayed behind way after last call, and the waiters all put up the chairs (a sign meaning ""..hey.. you can go whenever now.."") but they never rushed us out.   The food is ok.. nothing to brag about but nothing gross. I've had their chicken fingers here, which was meh (I prefer mcdonald's nuggets to be honest). I've also had their greek salad with chicken on top. Also meh, nothing memorable.   In the end, all I can say is this restaurant is 'A-ok'",neutral
i won t say that i didn t feel any fear because i did but i was surprised at how calm i was,surprise
i was staring at this positive pregnancy test feeling terrified of how people would react and also incredibly blessed to be chosen to have another baby against the odds,worry
im feeling delicate so their cleansing broths simple flavours and comforting slow cooked eggs onsen tamago have helped me out of many a sticky situation,happiness
i feel slightly reluctant about it though because every time i go to old navy they play second chance,worry
i am sick of you feeling sad and upset so lets do angry because angry i can handle,sadness
ive been feeling complacent and melancholy,fun
i think it was what was making me feel weepy,sadness
i said i understand his stress currently and def feel sympathetic,happiness
i feel naughty d,happiness
"Yeah for coupons!   Found this place randomly and really like it, a lot of different chocolate flavours to keep chocoholics coming back for more. They let you taste test to see what you might like so you don't have to worry about picking something you might not like.",neutral
i feel that i am very generous with giveaway copies of my copyrighted works and i dont like to have to address an issue like this but i work hard to produce my books,happiness
i did not feel insulted,hate
i bluntly delegate tasks as i see fit i am quicker to criticize than to praise and i get annoyed not when someone isnt considerate of my feelings but when someone isnt considerate of my time,happiness
i feel as if i am caring for my own mom and i try to give her all the love i wanted and needed and i think mom needed when she was growing up too,happiness
im feeling frantic i love summer and the yummy harvest and fun times so i have been rushing around trying to soak up the last of it,worry
i feel lucky that i didn t jump straight to hypothermia and was able to carry on with the race,fun
i feel like you honestly want more than to take pictures with me to post on the internet i find you sincere and amazing from what ive observed in one night,fun
i feel wonderful but rum now there s a different kettle of fish,fun
i never got the feeling she was all that fond of and possibly for being the original olivia on the waltons,happiness
i just struggle with finding a way to fit in and feel accepted,happiness
"(Jan/ 2006)  Tuna tartare-- take a back seat (for now), ""where's the beef? We shared the steak tartare appetizer and it was good.   Not remembering that we had dined at Emeril's in Orlando, I ordered Gumbo. And as it turns out, it is the exact same Gumbo that I had at Emeril's restaurant in Florida. Go figure. We also had some fish sitting on a bed of what looked like, well, vomit. BUT nevertheless, the dish was good and the stringy fried potatoes on top were crunchy and tasty.",neutral
i feel quite strongly that students should be punished due to how well or badly they have faired compared to a completely unrelated group of people,sadness
i did note with some sourness that no one thanked me for dinner but i was feeling less grumpy after a nice meal and hubby and i chatted over dinner before he headed off to work and things no longer seemed as bad,hate
im not like others who can just freely show what they really feel inside not caring who are looking around,happiness
i am feeling a lil bit gloomy,sadness
i feel nervous wondering if we ll be getting another damaging storm then of course there are days when just i look up at the sky and think about god heaven loved ones who have already passed away and loved ones who will pass away in the future,worry
"We ended up at Sammy's Famous Corned Beef after trying to get pho at Tram's Kitchen and forgetting it was a Monday (Tram's is closed on Mondays).  The bright neon lights flashing FAMOUS across the street beckoned for us to head over and try it out... so we did.  I ordered the Sammy's Special, which is 5 ounces of corned beef topped with sauerkraut or cole slaw, swiss cheese, and Russian dressing on your choice of rye.  I went with sauerkraut and rye bread.  I also got a side of potato salad b/c it costs a buck and I was kinda worried I'd still be a little hungry after the sandwich.  The sandwich was alright; the corned beef wasn't as salty as I expected and sliced really thin.  I would've liked my bread toasted, the heat of the meat and sauerkraut warmed up the bread from the inside.  Toasted bread might have also held up to the wetness of the sauerkraut and Russian dressing; the bread was extremely soggy by my last bite.  One of my companions said their pastrami was underwhelming and to stick with corned beef (he had two sandwiches).  The potato salad was pretty standard with a dijon mustard base.    They also have a bar in the dining section of the place, but since it was around 2:30 PM in the afternoon I decided not to get a beer at that time.  Overall I was satisfied with my meal and I'd probably drop by again if I was in the area, but I probably wouldn't go out of my way to get their sandwich.",neutral
i feel thankful that i get to experience such a primal response,fun
i know that i shouldnt have run around with his dirty socks on a stick like a flag for our friends to see no matter how angry or hurt i was feeling about the dirty laundry that he left me,sadness
i wonder are you jealous or feeling of discontent or covetousnes,sadness
"My friend and I had been looking for a nice gym to go to after work and did some looking around...Decided to go with Planet Fitness but accidentally signed up at the wrong location. We stopped in and talked with Jennifer, she told us we would have to cancel from the other location, which was unfortunately on 40th street. We did so and I tried to go back a few days later. Apparently you don't need Moloch more than a 2nd grade education to work here. Idiots. There was a girl up front who was not only rude, but a liar. One thing that is disgustingly unprofessional is when an employee flat out lies to a customer's face. I told her the situation and she just glared at me. I told her I just needed my membership redone. She said, ""yeah well I can't do this. I can't wave your fee. Only a manager can set all this up."" I was pretty frustrated at this point and told her that it was my 3rd trip there. Quickly she changed it up on me, ""well, I'll do it but I need your account and routing numbers"". I'm sorry, but are you kidding? I called her out on her lie and walked out. About a week later I called and Jennifer answered and told me that we could just stop on in and she would take care of everything. Met my friend there and within 15 minutes, everything was done. Extremely professional and polite. Can't wait to see her around!",neutral
"Prime rib is great and likely the best item.  Wild salmon is quality too.  But yeah the smoke smell is too much. Cant do it anymore, have a smoke smell stuck in my nose for days now. Gotta stick with newer resorts with advanced air filtration systems - cosmopolitan, wynn, etc.  If the air doesnt bother you, then youll be very happy here with the fresh beer and good value.",neutral
i feel hopeless right,sadness
i have leave me feeling incredibly appreciative and peaceful and at home,fun
i did notice i could get boring arduous tasks done without feeling like i was being tortured today,hate
im feeling extremely obnoxious today,hate
"Pizza was good. Not east coast quality but as close as you would expect. Great sauce and cheese ratio, crust was the only reason I didn't give it 5 stars.",neutral
i feel listless i cant do anything of it,sadness
i tried to down play what i was feeling but i think she was already convinced as to how our evening would play out,fun
i feel nothing is working out and it gobbles me up leaving me helpless and scared,worry
i have enjoyed my juices i feel fabulous i have lost weight and of the time i have not been hungry,fun
i hear such stories i feel cold,hate
i have struggled with feeling like i should and that maybe i was being too paranoid about it and should just do what they said,worry
i was trying to smile and show you my teeth but it ended up like im stoned and like that man is taking photo for my id or something and i feel shy,worry
i just wake up feeling bitchy and it tends to get worse as the day goes on,hate
"Not bad, but apparently the best you can get in Las Vegas. Los Angeles has a great spot called Tahoe Galibi that is very tasty, but this comes pretty close.   Ordered the sirloin, the pork, and shrimp (I can never remember the right names). Shrimp was eh, though the pork and sirloin were good. My sister was a big fan of the shrimp so maybe it was just me. I did like that they hand you fresh rice and they have some relationship with the frozen yogurt place next door (I recommend the pomegranate).",neutral
i tell sanusi that i started coming to nigeria eight years ago but that even now sometimes after weeks on the ground i often leave feeling as unsure as when i arrived,worry
i woke up this morning feeling like the unfortunate drain cover that a href http www,sadness
"Although the convenience store is called Sun City Express, the gas station itself is Sinclair. I come here because they have the lowest price on gas around my part of town (or any part of town really -- and I drive ALL over town because of my delivery job); however, my main gripes are that half the time I go get gas, they don't have receipt paper for self-serve users and at least 1 or 2 self-serve machines for gas are out of order. Half the time I go here, I can drive in and out with no sweat, but half the time some sort of problem arises when it comes to using the self-serve credit card stations.",neutral
i apologize to anyone who feels wronged and i hope that everything goes well with jasts negotiations with nitro and pb,hate
i think i brag and it feels strange because i still see myself as a little fattie pre teen unworthy of any male attention,surprise
i feel i browse the internet unprotected fear my manliness,worry
"Our waiter was a jerk until near the end. He wanted to get our drinks all at once but people arrived about three mins from each other. It's 109 degrees in Vegas, we want water. He gave us attitude and was uncooperative almost the entire brunch.   Food was good and large servings.",neutral
"The last few times I was in Vegas, I didn't ride the gondola because the wait time was over two hours. I am one impatient girl and can't be waiting around that long to ride in a gondola.   The very last time I was in Vegas, the line was pretty short & the bf & I only had to wait about 25 minutes. I figured it's now or never; the lines were never going to be this short again, so we paid our $16 per person & shared an indoor ride with another couple.  Despite being very cheesy and the most touristy thing you could possibly do in Vegas, it turned out to be a really fun, romantic ride. Our gondola driver guy sang one silly song & one romantic song & instructed me & the bf to kiss. It was really cute. I'm glad I experienced riding in a gondola because I don't know when I will ever make it out to Venice, but I don't think I will be taking that ride again. One time was enough...just so I could say I did it, you know?",neutral
i feel slightly less enraged,hate
when my son returned from mountaineering healthy in body and soul,fun
im feeling horny anyway,happiness
"This place was just okay for my fiance and I. It was a nice place and have heard great things, so we finally gave it a try. I understand dim lighting but it was SUPER dark in the restaurant, little too much for me, but might be fine for others. He ordered the chicken, I ordered the burger. We also had the mac n cheese appetizer.  First, the mac and cheese was good, but it was ruined by putting salsa on top of it? That was a bit strange and wasn't a good mix in my opinion.  Second, his chicken was pretty bland and dry. It was just okay. For the money we were paying for that, we were definitely expecting something with a bigger portion and a lot better tasting! I ordered the burger medium well, it came out rare. I don't mind pink, but that was just too pink. I think he might have misheard me for ""medium rare"" instead of ""well"" which I can TOTALLY see and understand, especially with music playing. Unfortunately gave it back and did not order anything else or another one because it was pretty late and we wanted to go out. The drinks were good, nothing to write home about, but again these were EXPENSIVE.  Probably wont be back, nothing to memorable about this place except the high bill ;). Definitely a nice place, but just not for us.",neutral
"Really excellent jerk chicken with beans n rice and oxtail gravy - and decent portions. I'm sorry to be glad those dudes who were running Alberts here are gone, they gave such ripoff SMALL portions and I'm not a little guy. What was their deal? No attitude or scrooge service now thank you.  Sayonara Alberts on Queen. Your location on St Clair Ave never let me down though, God bless.",neutral
i were discussing on freedom and economic growth in global civil society i cudnt help but feeling amazed our frens in da philippines dat they r happy maintain basic living condition without rapid development as long as their freedom is not being touched,surprise
i can run and it feels amazing,surprise
i feel that the pocket memo is perfect for business and personal use alike it is the gold standard of recording devices,fun
i know itll come back to me as i use it throughout this course but im definitely not feeling very intelligent right now,fun
i feel a bit like a naughty child because i wasn t sure i d do,happiness
i think about him my heart will pumped so hard that i can feel the blood rushed to all parts of my body,hate
"Just a typical bar. Nothing special. The beer selection wasn't overwhelming. The fried pickles were average. They did have  good happy hour specials which is what made us stick around a little longer. Overall, not bad! A decent place to have a cold one.",neutral
i think god is gently showing me in a way that doesnt feel gentle at all to me that there are much deeper levels to being loved,happiness
i quit i will screw over everyone in the frame shop which i wouldnt feel bad about besides british,sadness
when i called my boyfriend he asked me if i would live with him,fun
"I went to the Stone Rose for their annual 'Nightmare on Princess Drive"" halloween party. The drinks are on the pricey side but it's a nice place with a large outdoor patio with a ton of seating and fire pits and a nice indoor with large windows so it feels a little like you're outdoors. The DJ really sucked while I was there because it wasn't real dance music and he played all the awful overplayed songs that make people change the radio station (a whole lot of black eyed peas and pitbull). The last hour he shifted into rap/hip hop which was much better but kind of late into the night. The bar was understaffed for the party and it took forever to get a drink...however I think under normal circumstances the Stone Rose would be a really nice place to come for nice cocktails & relaxing outside.",neutral
ive enjoyed writing the blog and having a chance to share with all of you so much that i am feeling generous and want to celebrate my th visit with the rest of you,happiness
i made the stupid mistake of saying i was fine the next day the last time my headmaster punished me and it only served to make him feel he had not punished me hard enough,sadness
i dont expect anyone to understand it but i do feel like i should be admired for it,happiness
i didn t enjoy and it made me feel extremely unsure and lousy and alone for a long time,worry
id been energetic and gone on my bike so i went straight past and on into town feeling very virtuous at getting so much exercise,fun
i come home feeling drained and paralysed and when i try to study my brain just shuts down and ill end up snoring away on my bed and visiting dreamland,sadness
i feel pleased at my self sufficiency,fun
i fuck with that coat but i really still feel like she doesnt know how to rock this swag so just looks a little lame trying whatever though,sadness
i was feeling grouchy and ignored the dirty looks from those standing tall and patriotic with their hands on their hearts as we tried to find the appropriate place to start,hate
i know when allergies hit me and i have many i feel irritable tired frustrated anti social foggy brained and sometimes anxious when asthma kicks in,hate
i feel woefully naughty,happiness
i lost my power feeling lethargic headachie tired mentally blah you get the picture,sadness
i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy,sadness
i find myself seeking and yearning for love and acceptance from people that can not provide it and then being disappointed when i am alone and feeling unloved and unworthy,sadness
i just feel so strange and untrue,worry
"Gaudy, confusing layout, always has delayed flights. Buuuuuuut shit, it's Vegas. Get over it!   Side note: You arrive happy and leave half dead and broke. Unless you win a little somethin somethin on the slot machines. I love those bad boys.",neutral
i could help but feel deeply doubtful about my decision to come to india,worry
i feel blessed to be able to give joy to a child in need,happiness
i feel that i have nothing smart or interesting to write about these days,fun
i am moving on and i feel sorry for you because i thought you were the most amazing boy ever,sadness
i feel like we are feed this lie that we cant be mad at god that we are only allowed to be joyful reverent and polite with god,hate
i can feel about this film is cautiously optimistic but again its not lighting my world on fire,fun
i feel like a stranger in a strange land the sexist world of the s november th by eric i m not sure i m going to be able to finish stranger in a strange land by robert heinlein,worry
"We had a nice time at the Angry Crab.  It is a fun concept and not like anything else you see around these days.   I thought I ordered the crayfish po'boy, but it came cold, so I think she miss heard me and brought me a different sandwich. Don't get the cold one, it was seriously lacking in flavor, but from the looks of the hot one I think it would have been much better.   We will be back!",neutral
"If you're in the mood for Chinese take out and don't want that corporate Panda express crap, you're in the right place. This joint cooks their food to order, albeit quickly, instead of leaving their food out under nausea inducing heat lamps. I definitely like that it is family owned and fairly priced.    You can taste the freshness in the food that you won't find at one of those stereotypical chinese fast food eateries. The portion sizes were generous too and a family meal is more than enough food for a family of 5, or perhaps even 6. That being said, the taste was only decent. The fried rice was flavorful and rich. The egg drop soup was as expected. The orange chicken is tasty and familiar, but brings nothing new to the table. The kung pao chicken had lots of crunchy vegetables but I have had better. The crab rangoons weren't good at all, but don't take my word for it because I've never liked those things. The spring rolls were ok but I've had better at random hole in the wall thai restaurants. The bottom line is that this place, while worthy of my future business, still cannot beat Pick up Stix in terms of quality and flavor. I hate to say it, but a corporation still has these guys beat.",neutral
i feel really artistic today,fun
i was made to feel outraged span data ft tn k id,hate
i got up i was feeling quite shaken by the fall and for a moment i thought i was seeing double,worry
ive got a decent handle on rorik and dill i feel like i can work more with the supporting characters,happiness
i woke up feeling bitchy irritable and spoiling for a fight,hate
i feel furious with myself for gaining over kgs in a week it is gross,hate
Kinda smallish dish for what you get. I always thought this place was a restaurant. Turns out it is a food stall. The food was pretty tasty but $20 in Kensington Market I expect more than just 2 small take away containers. Likely won't be heading back soon.,neutral
"This place has a Chipotle feel but has more of that New Mexico Mexican food atmosphere. There food is okay and reasonably priced. Salsa really makes the food for me, and there salsa is just okay. I normally order there chicken quesadilla or get an enchilada and would recommend both.",neutral
"We went there for lunch based on reviews as we were passing through town.  I ordered the chicken enchilada soup which was delicious and the shrimp ceviche.  Since the shrimp ceviche was $9.99,  I expected a bowl of shrimp that had been marinated in citrus.  Instead I got a bowl of salsa with 4 shrimp in it.  While the salsa was tasty it wasn't worth the price.  If that is the way they want to serve it they should give you a side of tortilla chips instead of saltine packages.  My husband ordered a Club.  It was good and the bread was delicious.  Nice atmosphere. We ate outside and enjoyed the lovely AZ weather.",neutral
i find myself annoyed more often than i find myself feeling compassionate,happiness
i feel are lovely and inspiring,happiness
"For ages I kept hearing my friends rave about this place, and I jumped at the opportunity to go (after all, who doesn't love hot breakfast?). I've been three times now, and I still don't understand the hype.  The service is consistently good, and although this place is always busy, I've never had to wait for a seat and I've never felt like that place was too crowded. It can get a little noisy though, making it difficult to talk without feeling like you're shouting.  I typically get scrambled eggs with bacon, home fries, and rye toast with coffee. It's just okay. My biggest issue is with the home fries. Hands down, these are the worst home fries I've ever had. They are always cold and hard; they definitely have not been cooked enough, I may as well have eaten a raw potato. On my first visit I thought maybe this was a fluke and gave them another chance, but it's happened every single time I've eaten there. Hugely disappointing, as the home fries are always my favourite part of going out for breakfast. The eggs, bacon, and toast are fine, but nothing is good enough to make up for those home fries. There are much better places to go for a hot breakfast.",neutral
i feel very shocked by how many people i talk to who havent seen this movie,surprise
i had discounted my feelings thinking that everyone is in some way dissatisfied with things in their life,hate
"Trust me to go to a bagel store and get everything but a bagel. After a week of Vegas living, I wanted to get something healthy and got a fruit cup, a vita coconut water and a banana. Damage was $15. The lady at the counter gave me a good natured ribbing about my diet. It did take another week to detox from that trip though.",neutral
i just want someone to sympathize with me that what i am feeling is ok and holy cow i am valid for feeling this way in some weird twisted way by asking for sympathy i feel i am stealing sympathy from someone else who has it worse off lt holy amp t do you see how messed up and female i sound,fun
i don t feel particularly loyal to the institutions that have employed me,happiness
i had the feeling that pru and sean were a bit sweet on each other,happiness
"I though wish there is an indie coffee shop but I am still happy to see a Starbuck opens up in downtown Brampton.  Right across from Coffee Culture, I do prefer Starbucks but it is more a personal choice.  Barista here is friendly and cheerful, all my requests were met with a huge smile. Tons of electric outlets! The patio here is just awesome!!  Great location for a drink break before or after a stroll in the area.",neutral
"Unbelievable Chicken, not so great waffles. Overall a good experience. The sides and syrup were great to go along with a comolete meal. Overall pretty satisfied.  One thing to also mention it is pretty overpriced. No where to sit but you pay sit down restaurant prices.",neutral
im feeling a bit gloomy today because of the weather and because ive got no money to get on the tube to go anywhere pretty like columbia road,sadness
i am nauseous and dizzy and feel all gloomy or at least not attached to my body anymore,sadness
i stopped enjoying a large part of the race and really after mile i was feeling hot pissy ha,happiness
i feel less agitated,worry
"As far as the work goes- The dress was done correctly & in a timely manner and they were very friendly.. BUT I felt extremely ripped off .. when she was pinning it and I was standing in my dress she had said $50...which is what I was assuming everything would cost. I then mentioned the back train was too long and needed ONE bustle for me to clip it up...I know a bustle cost around $2,plus labor I was thinking at most an additional $5-10... it ended up costing $85!!! I asked if I could make it in two payments and she said yes (which is cool) When I asked around after, most of my clients at work told me around $45 was average.. and some had gotten 2 dresses done for $75 in paradise valley... I felt it was too much for the work. but didn't want to say no in the moment because I wasn't 100% sure and needed it done asap. Again, quality was good, they were nice but $85 was a bit too much (for me at least) prices aren't really posted.",neutral
i also have high hopes for but nonetheless feel a little skeptical towards the new site that entrepreneur is launching for women business owners,worry
Came here on two separate occasions and each time I experienced a problem. The first time the waiter had us sitting for 30-40 minutes before coming over to take our orders. The second time I ordered a Ribeye and it was burnt. Had to drive back to get it replaced. The manager did compensate for the inconvenience however which was a plus. Food is pretty good otherwise.,neutral
"It's been several months since I went to Sweets Raku, and I've been contemplating on how to review them. Do I follow the crowd and rate them high because it's almost expected of a place like this? Or do I find fun along with the faults?   First, it's an experimental experience. Desserts crafted here can be found nowhere else. They focus on creating sweets with laboratory precision with artistic style. Different flavors, colors and textures stimulate the senses.   My personal experience & observations:   Inside is bright, clean and modern. A glass wine cellar holding dozens of dessert wine serves as a wall by the entrance, guiding customers along the wall, where people just wait their turn. As you inch closer, there's a menu on the wall for you to study. Along the wall are cookies, macarons and other bite sized goodies for sale. Dozens of small tea canisters line the wall for an artistic display.   Tables are slow to be cleared for the waiting customers. Some sit there dirty for 10 min before anyone comes to clean it.  When we were next to be seated, the entire bar seating section of 8 was open, until a staff broke a glass on one end. They didn't seat anyone for more than 10 minutes because they took their sweet time.    Once seated, our orders were taken fairly quickly.  We asked for water, then we were told they automatically serve it to everyone.  Then I wondered why people who were seated after us got their water, and desserts before we did.  There's no order.   Each person is required to order a minimum of $12.  With a price of $15. for a dessert creation, it wasn't hard to achieve.  There's also a dessert set for $18., which includes a main dessert and a seasonal, which is basically a small scoop of sorbet that usually costs $5.   We ordered one set of the Carib and mango sorbet w mint jelly ($18), and one Mars ($15) The sorbet was hard to share, because it's about the size of one spoonful, topped with mint flavored jelly that really didn't go with the mango.  The Carib was served in a large glass, covered with a white choc lid. While served, they poured hot mango sauce over it to melt the lid into onto the other ingredients. The contrast in flavors and textures does get mixed up, but it worked.  Though I don't feel it's worth $15.     The Mars was served in a shiny red sphere. Vibrant color and perfectly round. FlambΓ© brandy is then poured over to melt the sphere, revealing the inside concoction.  Though pretty and highly photogenic for social media, the flavor did not work, and was ruined by the brandy. Also not worth $15.    The service by the entire staff was not impressive whatsoever.  Only one Japanese girl thy seated us managed to crack a small accidental smile.  A tall guy who assisted the pastry chefs had no facial expression nor personality.  The chefs themselves seemed very much in work mode and not personable at all to any of the patrons who undoubtedly came to see their creations in amazement.  While we were being served, a very brief description was announced and they did it bother to wait for any questions or photo ops. Luckily I observed how they were with others so I had my camera ready.    In my opinion, if a business will charge this price point, make us all wait standing in line, and they seem to take their sweet time cleaning tables, at least give us an experience of decent, friendly service and not act like his is some type of swanky, snobby Hollywood elitist hangout.    I may be back just out of curiosity, but not in any hurry, and know also not to expect any friendliness.  The 3 Stars is solely for creativity and the modern interior. I am not rating them higher based on the hype, or because everyone else raves about this place. Speed and level of service is def a 2.    See my photos & videos for menu, descriptions, interior and desserts.",neutral
i know i love math and it feels so weird not teaching it but i think the change will be good and it will be a good challenge for me,worry
"I really wanted to love you, L'Etoile, but the service and food was just ok.  We did the tasting menu with wine pairings.  It started with a basket of cold bread (at these prices, some warm fresh bread should be part of the deal).  Speaking of bread, the table next to us waited so long for their bread that they had to ask for some, to which the server replied ""we try to time these things accordingly.""  Dude, the people are hungry!  Just give them the bread.  We also got served someone else's tea course before our food came out, much to our confusion, and no one acknowledged the gaff, so we just sipped it like like, ""thanks for the chamomile...?""  Less then stellar culinary moments included a protein and melon dish with such large chunks of melon that it overpowered the whole thing (I can't even recall what the protein was - fish?  Foie gras? Therein lies the problem, it just wasn't memorable).  We eagerly anticipated the steak course which was served somewhat blandly with potatoes, swimming in corn gravy (it was begging for some acidity or brightness) and the meat was cooked just a little too long for that nice of a cut. Highlights were the dessert (a scrumptious custard) and the wonderful and quirky sommelier, Steven.  He was a breath of fresh air and we loved everything that was paired with the meal.  That being said, I wouldn't go back the next time we're in Madison.",neutral
i have some minor neuropathy going on in my fingers and my fingernails feel funny sensitive so that might mean that i could be losing them soon,surprise
i still cant help but feel irritated by the girl kato rubi because duh who would freaking post those photos in a public blog knowing that they both have reputations and jobs to protect,hate
i feel like its an excuse for being boring as an individual or lack of confidence in your individuality,sadness
i feel that its very romantic and to add to my visit i have the ipod loaded up with s dark synthwave amp early s college radio alternative the cure neds atomic dustbin the candy skins posies pixies blur james springhouse morrissey and so on,happiness
"I have to say the burgers are really good I have tried this place a few times. This time I dined in and I have to say the service really sucks, service is slow, waiter disappeared, no refills on the water granted they were packed but still there should be a set standard.   I would only do take out from here. 4 stars food 1 star service",neutral
i have come off conquerer others i feel i have missed the mark or perhaps the lesson that i was suppose to learn,sadness
i feel inhibited and self conscious,worry
i started to feel a cold sensation in my lower back where he told me to place my hand,hate
i once wonder how a person can be alone and smiling to herself that same week i felt like i was smiling all the time all through the week feeling too blissed amp getting very very jealous over myself,hate
im surprised you feel uncomfortable talking about race because you seem to understand it quite well in that i think you get privilege which is what conversations about race are really about,worry
i feel slutty but boy was it worth it,happiness
i cant help feeling a strange variety of relief for that,surprise
i feel something lovely,happiness
i pray that they will meet you personally and feel your caring hand in their lives,happiness
i am starting to be quite busy next week and i feel pressured to finish it,worry
i feel like a may have mislead the very gracious readers of this blog,happiness
i feel listless and deflated,sadness
i am now getting the feeling that i am not only all of the above but i am being secretly admired therefore things are turned into something more than it should be,happiness
